Park,Model,Hours,Task,Accuracy,RMSE
P1,PewLSTM,1h,departure,91.18,0.46
P1,GRU,1h,departure,36.74,1.93
P1,PewGRU,1h,departure,84.92,0.88
P2,PewLSTM,1h,departure,70.97,5.15
P2,GRU,1h,departure,-36.58,11.0
P2,PewGRU,1h,departure,-9.41,9.25
P3,PewLSTM,1h,departure,82.43,1.24
P3,GRU,1h,departure,40.21,3.05
P3,PewGRU,1h,departure,42.14,2.93
P4,PewLSTM,1h,departure,62.92,3.25
P4,GRU,1h,departure,69.7,5.89
P4,PewGRU,1h,departure,79.54,5.18
P5,PewLSTM,1h,departure,87.14,0.9
P5,GRU,1h,departure,60.06,2.41
P5,PewGRU,1h,departure,66.14,2.13
P6,PewLSTM,1h,departure,85.9,0.77
P6,GRU,1h,departure,54.36,2.58
P6,PewGRU,1h,departure,56.36,2.39
P7,PewLSTM,1h,departure,78.5,1.57
P7,GRU,1h,departure,76.95,1.79
P7,PewGRU,1h,departure,50.39,3.99
P8,PewLSTM,1h,departure,83.27,1.91
P8,GRU,1h,departure,41.3,5.18
P8,PewGRU,1h,departure,43.92,5.01
P9,PewLSTM,1h,departure,79.84,1.76
P9,GRU,1h,departure,48.02,4.72
P9,PewGRU,1h,departure,44.54,4.51
P10,PewLSTM,1h,departure,82.64,1.36
P10,GRU,1h,departure,24.99,3.6
P10,PewGRU,1h,departure,67.4,1.59
